,Ciudad,Condicion_laboral,Clase_edad,Usa_surgelados,Usa_dulces_surgelados,Tipo_de_crema,Tipo_de_pastel,Juicio_pastel,Compraria,Juicio_crema
144,1,2,1,2,1,4,1,5,4,4
145,1,1,3,2,2,1,1,5,5,5
146,1,1,3,1,1,1,1,6,5,5
147,1,2,3,1,2,1,1,7,4,5
148,1,2,2,2,2,1,1,3,1,3
149,1,2,1,2,2,4,1,5,4,5
150,1,1,2,2,2,1,1,3,1,2
151,2,2,2,2,1,4,1,6,5,6
152,2,1,3,2,2,3,1,7,5,6
153,1,1,3,2,2,1,1,4,5,4
154,1,2,3,2,2,4,1,5,5,5
155,1,2,2,2,2,4,1,5,4,4
156,1,2,3,2,2,1,1,5,4,4
157,1,2,2,2,2,1,1,5,5,4
158,1,1,2,2,1,3,1,4,3,3
159,1,1,3,2,2,1,1,5,4,4
160,1,2,2,2,2,4,1,4,3,3
161,1,1,1,1,2,3,1,5,3,3
162,1,1,3,1,2,1,1,4,3,5
163,1,1,2,2,1,4,1,7,5,7
164,1,2,3,2,2,3,1,5,4,5
165,1,2,1,2,1,3,1,6,5,7
166,1,1,2,1,2,4,1,4,2,3
167,1,2,1,2,2,1,1,5,3,4
168,1,2,3,2,2,3,1,4,2,3
169,1,2,3,1,2,1,1,6,4,5
170,1,1,3,1,2,4,1,5,4,5
171,2,2,2,2,1,2,1,3,2,4
172,2,1,2,2,1,1,1,3,1,2
173,2,1,1,2,1,3,1,3,1,5
174,2,1,3,2,1,1,1,4,4,5
175,2,1,3,2,2,1,1,5,4,3
176,2,2,2,2,1,3,1,5,4,4
177,2,1,3,1,2,1,1,5,4,5
178,2,1,3,1,2,1,1,6,5,6
179,2,2,3,2,2,1,1,5,4,5
180,2,2,1,2,2,1,1,5,3,5
181,1,1,2,2,2,4,1,2,1,2
182,1,2,1,2,2,1,1,4,3,3
183,1,1,3,2,2,3,1,6,4,6
184,1,2,3,2,2,1,1,3,2,3
185,1,1,3,2,1,1,1,4,3,4
186,1,2,3,2,2,1,1,4,3,2
187,1,1,2,2,1,1,1,7,5,7
188,1,2,3,2,2,1,1,6,5,5
189,1,2,2,2,2,4,1,6,4,5
190,1,1,2,2,2,4,1,3,1,3
